,Nombre,Temática,Adscripción,Página web,Entidad,Municipio,Puntaje,Cantidad de comentarios
718,Casa Museo de Cartonería,Arte,Colección privada,,México,Chalco,4.4,127
719,Museo de Sitio de Chimalhuacán,Arqueología,Secretaría de Cultura y Turismo del Estado de México / INAH,http://www.inah.gob.mx/es/red-de-museos/231-museo-de-sitio-de-chimalhuacan,México,Chimalhuacán,4.3,521
720,Planetario Digital de Chimalhuacán,,Ayuntamiento de Chimalhuacán/Parque Ecoturístico El Chimalhuache,,México,Chimalhuacán,4.4,348
721,Museo de la Pluma. Ing. Jesús Humberto Rodríguez Lozano,Especializado,Tecnológico de Estudios Superiores de Ecatepec,http://biblioteca.tese.edu.mx,México,Ecatepec de Morelos,4.3,311
722,"Centro Comunitario Ecatepec, Casa de Morelos",Historia,Secretaría de Cultura y Turismo del Estado de México / INAH,http://www.inah.gob.mx/es/red-de-museos/282-centro-comunitario-ecatepec-casa-de-morelos,México,Ecatepec de Morelos,4.3,1150
723,Museo de Historia Natural de Ecatepec (Cerrado temporalmente),Ciencia y tecnología,Ayuntamiento de Ecatepec,,México,Ecatepec de Morelos,4.4,3691
724,Museo de Huixquilucan,Historia,Ayuntamiento de Huixquilucan/Subdirección de Cultura,,México,Huixquilucan,NaN,0
725,Museo Comunitario Xochilteptl,Historia,Ayuntamiento de Juchitepec,,México,Juchitepec,NaN,0
726,"Zanbatha, Museo del Valle de la Luna",Historia,Ayuntamiento de Lerma,http://zanbatha.lerma.gob.mx/,México,Lerma,4.4,17
727,Museo de sitio de la Zona Arqueológica de Malinalco,,Secretaría de Cultura/INAH,https://www.inah.gob.mx/zonas/135-zona-arqueologica-malinalco,México,Malinalco,4.7,4029
728,Museo Universitario Dr. Luis Mario Schneider,Antropología,Universidad Autónoma del Estado de México,http://malinalco.net/inicio/turismo/museo-luis-mario-schnaider/,México,Malinalco,4.8,722
729,Museo del Barro,Arte,Ayuntamiento de Metepec,,México,Metepec,4.5,1725
730,Museo del Agua,,"Organismo de Agua Potable, Alcantarillado y Saneamiento (OAPAS) ",,México,Naucalpan de Juárez,NaN,0
731,Museo Tlatilca,Arqueología,Instituto de Cultura y Parque Naucalli,http://www.soymexiquense.com/edomex/region-viii/naucalpan/35-museo-tlatilco,México,Naucalpan de Juárez,4.0,315
732,Museo Salón Deporte,Especializado,Fundación Carlos Slim/Gobierno del Estado de México,,México,Naucalpan de Juárez,4.6,1124
733,Museo Arqueológico de Nextlalpan,Arqueología,Secretaría de Cultura del Estado de México,http://patrimonioyserviciosc.edomex.gob.mx/museo_nextlalpan,México,Nextlalpan,4.2,402
734,Museo Dr. José María Luis Mora,Arqueología,Secretaría de Cultura del Estado de México,http://patrimonioyserviciosc.edomex.gob.mx/dr_luis_mora,México,Ocoyoacac,NaN,0
735,Museo Arqueológico Colonial de Ocuilan,Arqueología,Secretaría de Cultura y Turismo del Estado de México,http://patrimonioyserviciosc.edomex.gob.mx/sitio_ocuilan_arteaga,México,Ocuilan,NaN,0
736,Museo de la Minería de El Oro,Ciencia y tecnología,Secretaría de Cultura y Turismo del Estado de México,http://patrimonioyserviciosc.edomex.gob.mx/mineria_el_oro,México,El Oro,4.5,704
737,Casa Museo Gonzalo Carrasco,Historia,Secretaría de Cultura del Gobierno del Estado de México,http://patrimonioyserviciosc.edomex.gob.mx/gonzalo_carrasco,México,Otumba,4.4,433
738,Museo del Ferrocarril en Otumba,Historia,Ayuntamiento de Otumba de Gómez Farías/Amigos del Ferrocarril en Otumba A.C.,http://www.museoferrocarril.mex.tl,México,Otumba,4.4,237
739,Museo de Murales Teotihuacanos Beatriz de la Fuente,Arqueología,Secretaría de Cultura/INAH,http://www.inah.gob.mx/es/red-de-museos/242-museo-de-los-murales-teotihuacanos-beatriz-de-la-fuente,México,San Martín de las Pirámides,4.7,299
740,Sala museográfica de la Casa de Cultura  Dr. José María Cos,Historia,Ayuntamiento de Sultepec,,México,Sultepec,NaN,0
741,Museo de Sitio de San Miguel Ixtapan,Arqueología,Secretaría de Cultura del Estado de México,http://patrimonioyserviciosc.edomex.gob.mx/sitio_san_miguel_ixtapan,México,Tejupilco,4.5,179
742,Museo Casa de Madera,Arte,"Fundación Museo Casa de Madera, S.C.",,México,Tenango del Aire,4.5,748
743,Museo Arqueológico del Estado de México Dr. Román Piña Chan,Arqueología,Secretaría de Cultura del Estado de México,http://patrimonioyserviciosc.edomex.gob.mx/ramon_pina,México,Tenango del Valle,4.7,567
744,Museo de la Cultura Teotihuacana,Arqueología,Secretaría de Cultura/INAH,http://www.inah.gob.mx/es/red-de-museos/241-museo-de-la-cultura-teotihuacana,México,Teotihuacán,4.7,1183
745,Museo Comunitario Quetzalpapalotl,Historia,Ayuntamiento de Teotihuacán,,México,Teotihuacán,4.2,129
746,Museo Eremitorio de Fray Domingo de Betanzos,Historia,Ayuntamiento de Tepetlaoxtoc,,México,Tepetlaoxtoc,4.6,75
747,Museo-Casa Juana Inés,Arte,Secretaría de Cultura y Deporte del Gobierno del Estado de México,http://patrimonioyserviciosc.edomex.gob.mx/ccsjic,México,Tepetlixpa,NaN,0
748,Museo Nacional del Virreinato,Arte,Secretaría de Cultura/INAH,https://www.inah.gob.mx/red-de-museos/267-museo-nacional-del-virreinato,México,Tepotzotlán,4.7,18688
749,Museo Regional del Pulque y el Maguey Texcoco,,,,México,Texcoco,3.0,4
750,Museo del Centro Cultural Mexiquense Bicentenario,Arte,Secretaría de Cultura y Turismo del Estado de México,http://patrimonioyserviciosc.edomex.gob.mx/ccm,México,Texcoco,4.5,10278
751,Museo Nacional de Agricultura,Ciencia y tecnología,Universidad Autónoma Chapingo,,México,Texcoco,NaN,0
752,Museo de Biología,Ciencia y tecnología,Universidad Autónoma Chapingo,,México,Texcoco,4.7,13567
753,Museo Paleontológico de Tocuila,Ciencia y tecnología,"Asociación Mexicana de Turismo para el Desarrollo de la Región Oriente del Estado de México, A.C.",,México,Texcoco,3.4,100
754,Museo de Geología Dr. José Guadalupe Aguilera Serrano,Ciencia y tecnología,"Universidad Autónoma Chapingo, Departamento de Enseñanza, Investigacion y Servicio en Suelos",https://suelos.chapingo.mx/servicios/museo/,México,Texcoco,NaN,0
755,Museo Comunitario Nonohualca de Tlalmanalco,Arqueología,Comisión Municipal para la Preservación del Patrimonio Cultural de Tlalmanalco (CMPPCT)/Consejo Ciudadano de Cultura (CCC),,México,Tlalmanalco,4.2,16
756,Museo de la Escultura Mexica Eusebio Dávalos Hurtado,Arqueología,Secretaría de Cultura/INAH,http://www.inah.gob.mx/es/red-de-museos/230-museo-de-la-escultura-mexica-eusebio-davalos,México,Tlalnepantla de Baz,4.6,79
757,Museo Hacienda de Santa Mónica,Historia,"Fundación Cultural Antonio Haghenbeck y de la Lama, I.A.P.",http://www.museoshaghenbeck.mx/,México,Tlalnepantla de Baz,4.5,785
758,Museo de Sitio de Tenayuca Xólotl,Arqueología,Secretaría de Cultura/INAH,http://www.inah.gob.mx/es/red-de-museos/229-museo-de-sitio-de-tenayuca-xolotl,México,Tlalnepantla de Baz,NaN,0
759,Casa Museo Toluca 1920 ,,Secretaría de Cultura y Turismo del Estado de México,,México,Toluca,4.5,377
760,Museo Taller Luis Nishizawa,Arte,Secretaría de Cultura y Turismo del Estado de México,http://patrimonioyserviciosc.edomex.gob.mx/taller_luis_nishizawa,México,Toluca,4.7,162
761,Museo del Instituto Pedro Nolasco ,Arte,Ex Convento de la Merced,,México,Toluca,5.0,2
762,Museo de la Inquisición,Historia,"Mexhibitions, A.C.",,México,Toluca,4.1,1688
763,Museo de Antropología e Historia,Arqueología,Secretaría de Cultura y Turismo del Estado de México,http://patrimonioyserviciosc.edomex.gob.mx/museo_antropologia_historia,México,Toluca,4.0,7
764,Museo de la Estampa del Estado de México,Arte,Secretaría de Cultura y Turismo del Estado de México,http://patrimonioyserviciosc.edomex.gob.mx/estampa,México,Toluca,4.5,89
765,Museo  Auditorio PetStar ,,PetStar ,https://www.petstar.mx/,México,Toluca,4.6,102
766,Museo Universitario Leopoldo Flores,Arte,Universidad Autónoma del Estado de México,http://www.uaemex.mx/muslf/,México,Toluca,4.7,339
767,Museo de Historia Universitaria José María Morelos y Pavón,Historia,Universidad Autónoma del Estado de México,,México,Toluca,4.5,149
768,Museo Observatorio Meteorológico Mariano Bárcena,Ciencia y tecnología,Universidad Autónoma del Estado de México,http://web.uaemex.mx/dcultur/MUSEOS/Observatorio/,México,Toluca,NaN,0
769,"Museo Gabinetes de Física, Química y Medicina",Ciencia y tecnología,Universidad Autónoma del Estado de México,http://web.uaemex.mx/dcultur/MUSEOS/gabinetes/index.html,México,Toluca,NaN,0
770,Cosmovitral Jardín Botánico de Toluca,Ciencia y tecnología,Secretaría de Cultura y Turismo del Estado de México,http://patrimonioyserviciosc.edomex.gob.mx/cosmovitral,México,Toluca,4.6,39278
771,Museo de Arte Moderno del Estado de México,Arte,Secretaría de Cultura y Turismo del Estado de México,http://patrimonioyserviciosc.edomex.gob.mx/museo_arte_moderno,México,Toluca,4.7,459
772,Planetario Parque de la Ciencia Fundadores,,Secretaría de Cultura y Turismo del Estado de México,,México,Toluca,4.4,53
773,Museo de Bellas Artes de Toluca,Arte,Secretaría de Cultura y Turismo del Estado de México,http://patrimonioyserviciosc.edomex.gob.mx/bellas_artes,México,Toluca,4.6,1813
774,Museo del Heroico Cuerpo de Bomberos Toluca,Historia,Ayuntamiento de Toluca/Coordinación Municipal de Protección Civil,http://www.toluca.gob.mx/museo-del-heroico-cuerpo-de-bomberos,México,Toluca,NaN,0
775,Museo de Ciencias Naturales de Toluca,Ciencia y tecnología,Secretaría de Cultura y Turismo del Estado de México,http://patrimonioyserviciosc.edomex.gob.mx/ciencias_naturales,México,Toluca,3.9,62
776,Museo Hacienda La Pila,Arte,Secretaría de Cultura y Turismo del Estado de México,https://patrimonioyserviciosc.edomex.gob.mx/museo-hacieda-pila,México,Toluca,4.6,143
777,Museo de la Acuarela del Estado de México,Arte,Secretaría de Cultura y Turismo del Estado de México,http://patrimonioyserviciosc.edomex.gob.mx/acuarela,México,Toluca,4.6,947
778,Pinacoteca Los Autonomistas ,Historia,Universidad Autónoma del Estado de México,,México,Toluca,NaN,0
779,Museo Felipe Santiago Gutiérrez,Arte,Secretaría de Cultura y Turismo del Estado de México,https://patrimonioyserviciosc.edomex.gob.mx/museo-felipe-santiago-gutierrez,México,Toluca,4.6,74
780,Museo Salón de la Fama del Deportivo Toluca,Especializado,Deportivo Toluca Futbol Club,https://www.tolucafc.com/museo,México,Toluca,4.7,54
781,Museo del Alfeñique,Arte,"Ayuntamiento de Toluca/Instituto Municipal de Cultura, Turismo y Arte",,México,Toluca,4.4,855
782,Museo Galería de Arte Mexiquense Torres Bicentenario,Historia,Secretaría de Cultura y Turismo del Estado de México,https://patrimonioyserviciosc.edomex.gob.mx/museo-torres-bicentenario,México,Toluca,4.3,1229
783,Museo  del Paisaje José María Velasco,Arte,Secretaría de Cultura del Estado de México,,México,Toluca,4.4,213
784,Museo de Sitio de Calixtlahuaca,Arqueología,"Ayuntamiento de Toluca, Instituto Municipal de Cultura, Turismo y Arte",,México,Toluca,4.3,43
785,Museo del Mamut,Ciencia y tecnología,Ayuntamiento de Tultepec,,México,Tultepec,4.1,1315
786,Museo Joaquín Arcadio Pagaza,Historia,Secretaría de Cultura del Estado de México,http://patrimonioyserviciosc.edomex.gob.mx/ccja,México,Valle de Bravo,NaN,0
787,Museo Arqueológico de Valle de Bravo,Arqueología,Secretaría de Cultura del Estado de México,http://patrimonioyserviciosc.edomex.gob.mx/patrimonio/museos/museo-arqueologico-valle-bravo,México,Valle de Bravo,4.3,391
788,Museo Virreinal de Zinacantepec   ,Arte,Secretaría de Cultura del Estado de México,http://patrimonioyserviciosc.edomex.gob.mx/virreinal_zinacantepec,México,Zinacantepec,4.6,608
789,Museo Paleontológico de Santa Lucía Quinametzin,,Gobierno de México,,México,Zumpango,NaN,0
790,Museo Comunitario del Valle de Xico,Arqueología,Comisión Local para la Preservación del Patrimonio Cultural de Valle de Chalco Solidaridad,,México,Valle de Chalco Solidaridad,4.2,282
791,Museo Eduardo Ruiz,Temática no determinada,Museo Comunitario de la Junta Vecinal,,Michoacán de Ocampo,Álvaro Obregón,NaN,0
792,Museo Casa de la Constitución,Historia,Ayuntamiento de Apatzingán/Casa de la Cultura,,Michoacán de Ocampo,Apatzingán,4.6,213
793,Museo de la Tierra Caliente ,Antropología,"Centro de Cultura y Desarrollo, A.C.",https://www.facebook.com/Museo-de-la-Tierra-Caliente-609714619112642/timeline/,Michoacán de Ocampo,Apatzingán,4.8,10240
794,Museo del Primer Supremo Tribunal de Justicia de la Nación,Historia,Suprema Corte de Justicia de la Nación (SCJN),http://www.poderjudicialmichoacan.gob.mx/web/museohistorico/principal.aspx,Michoacán de Ocampo,Ario,NaN,0
795,Museo Casa Morelos,Historia,Ayuntamiento de Carácuaro,,Michoacán de Ocampo,Carácuaro,NaN,0
796,Museo Regional Profr. Antonio Castañeda Robles,Arte,Ayuntamiento de Coahuayana,,Michoacán de Ocampo,Coahuayana,NaN,0
797,Museo Comunitario de Cotija,Historia,,,Michoacán de Ocampo,Cotija,4.2,49
798,Museo de la Estampa del Antiguo Convento de Santa María Magdalena ,Arte,Secretaría de Cultura/INAH,http://www.inah.gob.mx/es/red-de-museos/312-museo-de-la-estampa-del-antiguo-convento-de-santa-maria-magdalena,Michoacán de Ocampo,Cuitzeo,4.5,39
799,Museo de Sitio de la Zona Arqueológica de Tres Cerritos,,Secretaría de Cultura/INAH,http://www.inah.gob.mx/es/zonas/178-zona-arqueologica-tres-cerritos,Michoacán de Ocampo,Cuitzeo,4.4,115
800,Museo Tlaximaloyan ,Arqueología,Patronato del Museo Taximaroa,,Michoacán de Ocampo,Hidalgo,4.4,56
801,Museo de sitio de la Zona Arqueológica de Huandacareo,,Secretaría de Cultura/INAH,http://www.inah.gob.mx/es/zonas/154-zona-arqueologica-huandacareo-la-nopalera,Michoacán de Ocampo,Huandacareo,4.4,132
802,Museo Lázaro Cárdenas del Río,Historia,UNAM/Coordinación de Humanidades,http://uaer.humanidades.unam.mx/museo/introduccion/,Michoacán de Ocampo,Jiquilpan,NaN,0
803,Museo de Arte Contemporáneo Alfredo Zalce (MACAZ),Arte,Secretaría de Cultura del Estado de Michoacán,,Michoacán de Ocampo,Morelia,4.3,382
804,Museo y Archivo Histórico Casa de Morelos,Historia,Secretaría de Cultura/INAH,http://www.inah.gob.mx/es/red-de-museos/296-museo-y-archivo-historico-casa-de-morelos,Michoacán de Ocampo,Morelia,4.7,398
805,Planetario de Morelia Licenciado Felipe Rivera,Ciencia y tecnología,Centro de Convenciones y Exposiciones de Morelia,http://www.ceconexpo.com/planetario,Michoacán de Ocampo,Morelia,4.5,6
806,Museo Michoacano de las Artesanías,Arte,Casa de las Artesanías del Estado de Michoacán de Ocampo,,Michoacán de Ocampo,Morelia,4.6,168
807,"Museo Regional Michoacano, Dr. Nicolás León Calderón",Arqueología,Secretaría de Cultura/INAH,,Michoacán de Ocampo,Morelia,4.6,276
808,Museo del Estado de Michoacán (Cerrado por remodelación),Antropología,Secretaría de Cultura del Estado,,Michoacán de Ocampo,Morelia,NaN,0
809,Orquidiario de Morelia,Ciencia y tecnología,Centro de Convenciones y Exposiciones de Morelia,http://ceconexpo.com/orquidario/,Michoacán de Ocampo,Morelia,NaN,0
810,Museo Histórico del Poder Judicial del Estado de Michoacán,Historia,Gobierno del Estado de Michoacán/Poder Judicial,,Michoacán de Ocampo,Morelia,NaN,0
811,Museo Casa Natal de Morelos,Historia,Secretaría de Cultura del Estado de Michoacán,,Michoacán de Ocampo,Morelia,4.6,2053
812,Museo de Residuos SOS,,Secretaría de Servicios Públicos Municipales/Ayuntamiento de Morelia,,Michoacán de Ocampo,Morelia,4.7,113
813,Museo de Historia Natural Manuel Martínez Solórzano,Ciencia y tecnología,Universidad Michoacana de San Nicolás de Hidalgo,http://museohistorianatural.blogspot.mx/,Michoacán de Ocampo,Morelia,4.5,667
814,Museo de Arte Colonial,Arte,Secretaría de Cultura del Estado de Michoacán,,Michoacán de Ocampo,Morelia,4.3,208
815,Museo de Geología y Mineralogía Dr. Jenaro González Reyna,Ciencia y tecnología,Universidad Michoacana de San Nicolás de Hidalgo/Facultad de Ingeniería Civil,,Michoacán de Ocampo,Morelia,5.0,2
816,Sala Melchor Ocampo del Colegio Primitivo y Nacional de San Nicolás de Hidalgo,Historia,Universidad Michoacana de San Nicolás de Hidalg,,Michoacán de Ocampo,Morelia,NaN,0
817,Centro de Interpretación Ruta Don Vasco,Temática no determinada,,,Michoacán de Ocampo,Pátzcuaro,4.2,169
818,Museo de Artes e Industrias Populares de Pátzcuaro,Arte,Secretaría de Cultura/INAH,http://www.inah.gob.mx/es/red-de-museos/299-museo-local-de-artes-e-industrias-populares-de-patzcuaro,Michoacán de Ocampo,Pátzcuaro,4.5,105
819,Museo Agrarista de Tzurumútaro,Historia,,,Michoacán de Ocampo,Pátzcuaro,4.6,8
820,Museo del 2°Hospital-Pueblo,Historia,Comunidad Indígena de Santa Fe de la Laguna,,Michoacán de Ocampo,Quiroga,NaN,0
821,Museo Nacional del Cobre,Arte,Ayuntamiento de Salvador Escalante,,Michoacán de Ocampo,Salvador Escalante,4.6,2966
822,Museo del Maíz,Historia,,,Michoacán de Ocampo,Senguio,NaN,0
823,Museo del Centro Cultural Amalia Solórzano,Temática no determinada,Patronato ciudadano,,Michoacán de Ocampo,Tacámbaro,4.2,6
824,Museo Comunitario de Tancítaro,Historia,Patronato,,Michoacán de Ocampo,Tancítaro,NaN,0
825,Museo El Real del Tajo,Historia,Particular,,Michoacán de Ocampo,Tangancícuaro,4.3,12
826,Museo de Sitio de la Zona Arqueológica de Tingambato,,Secretaría de Cultura/INAH,http://www.inah.gob.mx/es/zonas/177-zona-arqueologica-tingambato,Michoacán de Ocampo,Tingambato,4.5,558
827,Museo Hermanos López Rayón,Historia,"Patronato del Museo Hermanos López Rayón, A.C.",,Michoacán de Ocampo,Tlalpujahua,4.3,218
828,Museo Tecnológico Minero del Siglo XIX/Mina dos Estrellas,Ciencia y tecnología,"Rescate Ecológico Cultural y Minero, A.C.",,Michoacán de Ocampo,Tlalpujahua,4.6,105
829,Museo Uralca,Arqueología,Municipio de Tlazazalca,https://www.facebook.com/museocasadecultura.uralca?lst=1000175748%3A100003140333702%3A1496256781,Michoacán de Ocampo,Tlazazalca,NaN,0
830,Museo del Ex convento de Santa Ana Tzintzuntzan,Historia,Centro Cultural Comunitario de Tzintzuntzan,,Michoacán de Ocampo,Tzintzuntzan,4.7,623
831,Museo de Sitio de las Yácatas Zona Arqueológica Tzintzuntzan,Arqueología,Secretaría de Cultura/INAH,http://www.inah.gob.mx/es/red-de-museos/298-museo-de-sitio-de-las-yacatas-o-museo-de-sitio-de-la-zona-arqueologica-tzintzuntzan,Michoacán de Ocampo,Tzintzuntzan,4.6,292
832,Museo Municipal Eduardo Ruiz ,Arqueología,Casa de Cultura de Uruapan,,Michoacán de Ocampo,Uruapan,4.5,125
833,Museo Fray Juan de San Miguel,Antropología,"Fray Juan de San Miguel, A.C.",,Michoacán de Ocampo,Uruapan,4.1,88
834,Museo Municipal,Arqueología,Ayuntamiento de Uruapan/Casa de Cultura,,Michoacán de Ocampo,Uruapan,NaN,0
835,Museo Indígena Huatapera,Arte, Instituto Nacional de los Pueblos Indígenas,,Michoacán de Ocampo,Uruapan,4.4,510
836, Museo kutsïkua Arhákuchari K'umánchikua,Arqueología,Instituto de Investigaciones en Ciencias de la Tierra,,Michoacán de Ocampo,Uruapan,NaN,0
837,Museo Comunitario de Vista Hermosa M.V.Z. Octavio M. Carrillo Castellanos,Temática no determinada,Ayuntamiento de Vista Hermosa,,Michoacán de Ocampo,Vista Hermosa,4.0,106
838,Museo Municipal Pentathlón de Yurécuaro,Antropología,Ayuntamiento de Yurécuaro,,Michoacán de Ocampo,Yurécuaro,4.5,103
839,Museo de la Ciudad de Zamora,Historia,Ayuntamiento de Zamora de Hidalgo,http://museodezamora.wixsite.com/museozam,Michoacán de Ocampo,Zamora,4.1,224
840,Casa Museo Lic. Felipe Rivera,Historia,Ayuntamiento de Zinapécuaro,,Michoacán de Ocampo,Zinapécuaro,4.1,9
841,Museo Casona de la Estación,Historia,Ayuntamiento de Zitácuaro/Direc.de Promoción y Difusión Cultural,,Michoacán de Ocampo,Zitácuaro,4.4,160
842,Museo Histórico y Natural Calmecac,Arqueología,Ayuntamiento de Atlatlahucan,https://www.facebook.com/profile.php?id=100007211203801&fref=ts,Morelos,Atlatlahucan,NaN,0
843,Museo Regional Tlahuica,Arqueología,Ayuntamiento de Axochiapan,,Morelos,Axochiapan,NaN,0
844,Museo Comunitario El Fuste,Historia,Comunidad de Quebrantadero,,Morelos,Axochiapan,NaN,0
845,Museo del Agrarismo Ex Hacienda de Chinameca,Historia,Secretaría de Cultura del Estado de Morelos,,Morelos,Ayala,4.4,150
846,Museo Casa Zapata,Historia,Secretaría de Cultura del Estado de Morelos,,Morelos,Ayala,4.2,864
847,Museo Histórico de Cuautla (Casa de Morelos),Historia,Secretaría de Cultura/INAH,http://www.inah.gob.mx/es/red-de-museos/228-museo-historico-de-cuautla-casa-de-morelos,Morelos,Cuautla,4.1,88
848,Museo de la Independencia. Sitio de Cuautla,Historia,Secretaría de Cultura del Estado de Morelos,,Morelos,Cuautla,4.3,50
849,Museo Vivencial  279,Historia,"Patronato del Museo Vivencial 279, A.C.",,Morelos,Cuautla,4.6,9
850,Museo del Centro Cultural Jardín Borda,Historia,Secretaría de Cultura del Estado de Morelos,,Morelos,Cuernavaca,4.5,2532
851,Museo Robert Brady,Arte,"Fundación Robert Brady, A.C.",https://www.museorobertbrady.com/,Morelos,Cuernavaca,4.7,994
852,Jardín Etnobotánico y Museo de la Medicina Tradicional (Museo cerrado),Antropología,Secretaría de Cultura/INAH,,Morelos,Cuernavaca,4.3,137
853,Museo Morelense de Arte Contemporáneo Juan Soriano ,,Gobierno del Estado,http://mmacjuansoriano.org/,Morelos,Cuernavaca,4.7,1270
854,Museo Cassa Gaia,,,,Morelos,Cuernavaca,4.9,21
855,Museo Fotográfico de Cuernavaca. El Castillito,Arte,Ayuntamiento de Cuernavaca,,Morelos,Cuernavaca,4.2,43
856,Museo de Arte Sacro de Cuernavaca,,Catedral de Cuernavaca/Ex-Convento de la Asunción de Cuernavaca,,Morelos,Cuernavaca,4.9,16
857,Museo de Ciencias del Estado de Morelos,,Consejo de Ciencia y Tecnología del Estado de Morelos/Centro Morelense de Comunicación de la Ciencia,http://museodeciencias.morelos.gob.mx,Morelos,Cuernavaca,4.4,350
858,Museo de Arte Indígena Contemporáneo,Arte,Patronato de la Universidad Autónoma del Estado de Morelos,,Morelos,Cuernavaca,4.6,324
859,"Museo Regional Cuauhnáhuac, Palacio de Cortés",Antropología,Secretaría de Cultura/INAH,http://www.inah.gob.mx/es/red-de-museos/249-museo-regional-cuauhnahuac-palacio-de-cortes,Morelos,Cuernavaca,4.4,2992
860,Museo de la Ciudad de Cuernavaca (MuCIC),Historia,Ayuntamiento de Cuernavaca,,Morelos,Cuernavaca,4.4,942
861,Museo de Acervo Paleontológico de Cuernavaca (MAPA),Ciencia y tecnología,Particular,,Morelos,Cuernavaca,NaN,0
862,Museo Güelu,Arte,"Fundación Fernando Cué Gómez, A.C",http://www.museoguelu.org.mx/,Morelos,Cuernavaca,4.0,8
863,Museo Morelense de Arte Popular (MMAPO),Arte,Secretaría de Cultura del Estado de Morelos,http://mmapo.morelos.gob.mx/,Morelos,Cuernavaca,4.6,423
864,Proyecto Siqueiros: Sala de Arte Público Siqueiros-La Tallera,Arte,Secretaría de Cultura/INBA,https://saps-latallera.org/,Morelos,Cuernavaca,4.5,579
865,Papalote Museo del Niño Cuernavaca,Arte,"Museo Interactivo Infantil, A.C.",http://cuernavaca.papalote.org.mx/,Morelos,Cuernavaca,4.5,1880
866,Museo Comunitario de Chalcatzingo El Sitio,Arqueología,"Grupo de Ejidatarios, A.C.",,Morelos,Jantetelco,4.7,772
867,Museo   Mariano Matamoros,Historia,Secretaría de Cultura del Estado de Morelos,,Morelos,Jantetelco,5.0,0
868,Museo de Sitio de Xochicalco,Arqueología,Secretaría de Cultura/INAH,,Morelos,Miacatlán,4.8,3666
869,Museo de Sitio de Coatetelco,Arqueología,Secretaría de Cultura/INAH,http://www.inah.gob.mx/es/red-de-museos/252-museo-de-sitio-de-coatetelco,Morelos,Miacatlán,NaN,0
870,Museo Comunitario de Ocuituco,Temática no determinada,Grupo Cultural Siena Ocuituco A.C.,,Morelos,Ocuituco,4.1,45
871,Museo Comunitario de San Juan Tlacotenco,Historia,Comunitario independiente,,Morelos,Tepoztlán,NaN,0
872,Museo de Arte Prehispánico Colección Carlos Pellicer,Arqueología,"Patronato Amigos de Tepoztlán, A.C.",,Morelos,Tepoztlán,4.1,646
873,Museo y Centro de Documentación Histórica Ex Convento de Tepoztlán,Antropología,Secretaría de Cultura/INAH,https://www.inah.gob.mx/red-de-museos/248-museo-ex-convento-de-tepoztlan-museo-de-la-natividad,Morelos,Tepoztlán,4.4,352
874,Museo Comunitario Ce Acatl Topiltzin Quetzalcóatl (Un ave serpiente),Temática no determinada,Comité Cultural de Amatlán,,Morelos,Tepoztlán,NaN,0
875,Museo Comunitario Rubén Jaramillo,Temática no determinada,"Unión de Pueblos de Morelos, A.C.",,Morelos,Tlaquiltenango,4.1,61
876,Museo Comunitario de Chimalacatlán,Antropología,Comunidad de Chimalacatlán,,Morelos,Tlaquiltenango,NaN,0
877,Museo Ex Convento de San Juan Bautista,Arte,"Museo Ex Convento de San Juan Bautista, A.C.",http://mediateca.inah.gob.mx/repositorio/islandora/object/guia%3A233,Morelos,Tlayacapan,NaN,0
878,Museo del Centro Cultural La Cerería,Historia,Ayuntamiento de Tlayacapan,,Morelos,Tlayacapan,4.4,105
879,Museo Comunitario de Totolapan,Temática no determinada,Ayuntamiento de Totolapan,,Morelos,Totolapan,NaN,0
880,Museo del Campesino Dr. Emeterio González Orduña,Arqueología,Ayuntamiento de Xochitepec/Centro Cultural Xochitepequense,https://redcentrosculturales.morelos.gob.mx/centro-cultural-xochitepequense/,Morelos,Xochitepec,4.0,20
881,Museo del Chinelo,Antropología,"Grupo Cultural Yautepec, A.C.",,Morelos,Yautepec,5.0,2
882,Museo Comunitario San Esteban Tetelpan,Arqueología,"Museo Comunitario San Esteban Tetelpan, A.C.",http://www.morelosturistico.com/espanol/pagina/z_101_Museo_San_Esteban_Tetelpan.php,Morelos,Zacatepec,4.3,94
883,Museo Comunitario Zoloxúchitl,Temática no determinada,Comunitario independiente,,Morelos,Zacualpan de Amilpas,NaN,0
884,Museo Local de Compostela,Arqueología,Secretaría de Cultura/INAH/Centro INAH Nayarit,http://www.inah.gob.mx/es/red-de-museos/271-museo-de-compostela,Nayarit,Compostela,NaN,0
885,Museo de la Casa de Cultura de Ixtlán del Río,Arqueología,Ayuntamiento de Ixtlán del Río,,Nayarit,Ixtlán del Río,NaN,0
886,Museo de Arte Sacro ,,Ayuntamiento de Jala,,Nayarit,Jala,NaN,0
887,Museo Comunitario de Jala,Arqueología,Patronato de la Casa de Cultura/Ayuntamiento de Jala,,Nayarit,Jala,4.2,5
888,Museo del Origen,Historia,Consejo Estatal para La Cultura y  las Artes de Nayarit,,Nayarit,Santiago Ixcuintla,NaN,0
889,Museo Comunitario de Santiago Ixcuintla,Historia,Junta Vecinal Pro Conservación y Difusión del Patrimonio Histórico y Cultural y Museo Comunitario / Ayuntamiento de Santiago Ixcuintla,,Nayarit,Santiago Ixcuintla,NaN,0
890,Museo Interactivo de Ciencias e Innovación de Nayarit,Ciencia y tecnología,Instituto Tecnológico de Tepic,,Nayarit,Tepic,4.3,362
